"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed",
"860Z200US98591","ZCTA5 98591","156","80","39","54","16","19","0","13","37","35","10","14","14","19","12","16","14","14","14","15","0","13",
"860Z200US98592","ZCTA5 98592","139","163","0","13","14","24","0","13","125","161","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US98593","ZCTA5 98593","113","58","2","3","0","13","9","15","27","30","0","13","0","13","0","13","0","13","52","40","23","28",
"860Z200US98595","ZCTA5 98595","422","160","32","37","27","42","89","77","17","27","82","88","5","10","45","36","95","85","30","23","0","13",
"860Z200US98596","ZCTA5 98596","416","125","80","69","59","68","44","46","27","25","15","14","33","24","14","13","32","34","40","26","72","46",
"860Z200US98597","ZCTA5 98597","1859","351","75","55","159","116","150","92","345","169","196","110","211","116","112","128","83","70","265","159","263","163",
"860Z200US98601","ZCTA5 98601","140","82","0","13","0","13","20","23","54","58","0","13","0","13","0","13","22","24","0","13","44","56",
"860Z200US98602","ZCTA5 98602","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US98603","ZCTA5 98603","131","103","14","24","0","13","24","44","57","74","0","13","0","13","0","13","0","13","36","58","0","13",
"860Z200US98604","ZCTA5 98604","2475","346","76","73","254","153","502","257","316","112","316","133","193","109","59","48","180","98","449","134","130","68",
"860Z200US98605","ZCTA5 98605","169","69","13","17","15","21","28","30","0","13","31","28","18","22","0","13","13","16","11","12","40","37",
"860Z200US98606","ZCTA5 98606","438","146","9","15","98","85","54","59","0","19","62","65","55","51","0","19","23","38","53","49","84","59",
"860Z200US98607","ZCTA5 98607","2692","400","112","98","216","97","396","146","375","147","392","160","191","148","105","64","112","76","637","224","156","89",
"860Z200US98609","ZCTA5 98609","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US98610","ZCTA5 98610","250","108","22","36","35","35","26","41","0","13","21","26","0","13","37","42","24","36","55","47","30","35",
"860Z200US98611","ZCTA5 98611","620","184","6","11","28","46","114","77","67","63","103","92","63","52","42","42","31","39","74","50","92","78",
"860Z200US98612","ZCTA5 98612","228","87","10","16","20","24","0","13","0","13","8","11","41","41","22","31","4","7","91","68","32","32",
"860Z200US98613","ZCTA5 98613","20","17","2","4","0","13","7","12","0","13","0","13","3","4","4","8","0","13","0","13","4","6",
"860Z200US98614","ZCTA5 98614","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US98616","ZCTA5 98616","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US98617","ZCTA5 98617","132","98","24","38","0","13","0","13","0","13","67","72","0","13","0","13","0","13","11","16","30","47",
"860Z200US98619","ZCTA5 98619","65","22","19","11","12","10","2","3","5","6","0","13","2","3","1","3","5","6","9","8","10","7",
"860Z200US98620","ZCTA5 98620","1027","252","0","19","21","26","46","44","72","67","62","62","269","187","45","50","49","73","247","130","216","152",
"860Z200US98621","ZCTA5 98621","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US98623","ZCTA5 98623","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US98624","ZCTA5 98624","195","81","0","13","33","15","46","44","26","26","48","38","16","19","12","15","14","24","0","13","0","13",
"860Z200US98625","ZCTA5 98625","599","270","25","28","62","42","51","50","244","284","32","39","16","13","0","19","49","50","71","80","49","45",
"860Z200US98626","ZCTA5 98626","3246","350","70","79","284","139","277","137","227","98","541","189","429","221","400","208","201","119","675","251","142","102",
"860Z200US98628","ZCTA5 98628","59","30","0","13","5","8","7","12","6","8","8","13","12","19","0","13","0","13","11","13","10","15",
"860Z200US98629","ZCTA5 98629","268","111","0","19","0","19","11","16","0","19","104","91","0","19","0","19","19","24","100","81","34","27",
"860Z200US98631","ZCTA5 98631","451","113","0","13","43","47","15","19","59","42","38","31","14","16","71","47","76","74","100","59","35","23",
"860Z200US98632","ZCTA5 98632","8527","575","288","152","614","154","895","258","1007","291","1172","302","653","224","714","301","824","216","2023","341","337","140",
"860Z200US98635","ZCTA5 98635","213","103","23","26","0","13","19","17","41","47","0","13","18","24","0","13","0","13","80","79","32","50",
"860Z200US98638","ZCTA5 98638","72","39","0","13","7","9","14","18","21","21","7","11","0","13","0","13","0","13","18","31","5","9",
"860Z200US98639","ZCTA5 98639","164","44","0","13","10","8","12","13","38","29","17","18","27","23","9","11","16","18","28","21","7","12",
"860Z200US98640","ZCTA5 98640","365","153","9","14","21","20","42","50","17","23","16","23","54","70","11","18","38","54","99","70","58","56",
"860Z200US98641","ZCTA5 98641","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US98642","ZCTA5 98642","1389","281","117","90","146","81","243","118","119","85","111","67","119","63","108","120","128","125","259","165","39","33",
"860Z200US98643","ZCTA5 98643","36","32","0","13","4","7","0","13","0","13","0","13","0","13","0","13","29","31","3","5","0","13",
"860Z200US98644","ZCTA5 98644","86","57","0","13","0","13","14","20","32","41","26","38","0","13","9","14","5","8","0","13","0","13",
"860Z200US98645","ZCTA5 98645","53","31","0","13","7","10","0","13","6","9","9","12","0","13","0","13","13","20","0","13","18","19",
"860Z200US98647","ZCTA5 98647","11","19","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","11","19","0","13",
"860Z200US98648","ZCTA5 98648","286","60","20","17","30","19","15","19","30","27","21","20","33","23","4","7","26","21","87","39","20","23",
"860Z200US98649","ZCTA5 98649","77","53","2","4","0","13","0","13","0","13","0","13","27","39","5","9","5","8","31","41","7","11",
"860Z200US98650","ZCTA5 98650","78","38","18","27","11","16","0","13","0","13","6","11","7","12","10","13","0","13","0","13","26","21",
"860Z200US98651","ZCTA5 98651","66","43","0","13","12","19","31","35","7","9","6","10","0","13","0","13","10","14","0","13","0","13",
"860Z200US98660","ZCTA5 98660","4033","327","189","108","331","128","381","136","423","143","426","143","346","132","331","118","270","114","1163","213","173","117",
"860Z200US98661","ZCTA5 98661","12652","821","460","198","1105","412","1325","279","1488","342","1760","363","1362","282","977","256","1457","291","2395","356","323","111",
"860Z200US98662","ZCTA5 98662","5052","577","36","33","443","214","605","244","649","211","522","202","368","184","334","146","660","167","1189","305","246","141",
"860Z200US98663","ZCTA5 98663","2622","293","85","63","175","90","421","133","250","102","344","119","241","108","183","96","307","138","556","182","60","58",
"860Z200US98664","ZCTA5 98664","3462","430","14","21","399","255","420","166","407","200","509","226","353","176","113","67","472","237","656","238","119","86",
"860Z200US98665","ZCTA5 98665","4573","428","46","35","174","88","655","187","502","159","679","209","491","209","270","120","547","231","1042","289","167","95",
"860Z200US98670","ZCTA5 98670","1","4","1","4","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US98671","ZCTA5 98671","1843","360","42","38","117","84","155","60","259","103","301","258","165","101","154","87","175","98","388","149","87","45",
"860Z200US98672","ZCTA5 98672","557","169","23","34","45","60","68","58","79","85","84","84","28","39","27","45","74","84","32","36","97","71",
"860Z200US98673","ZCTA5 98673","48","25","0","13","2","3","5","9","0","13","5","8","0","13","6","10","8","10","17","17","5","8",
"860Z200US98674","ZCTA5 98674","1618","366","30","36","153","128","110","86","216","107","403","211","116","134","72","105","56","68","295","176","167","132",
"860Z200US98675","ZCTA5 98675","252","96","12","17","30","33","23","26","50","45","27","42","9","14","4","6","0","19","20","21","77","64",
"860Z200US98682","ZCTA5 98682","7217","625","116","58","483","189","851","254","1279","348","545","190","557","198","815","310","486","144","1673","360","412","243",
"860Z200US98683","ZCTA5 98683","5950","572","145","98","302","146","500","169","643","203","793","269","586","162","527","228","651","215","1560","353","243","138",
"860Z200US98684","ZCTA5 98684","6377","607","157","90","302","133","765","299","807","266","1084","292","690","272","429","203","631","218","1253","344","259","173",
"860Z200US98685","ZCTA5 98685","1983","395","80","95","119","76","485","337","327","166","134","85","260","178","65","54","75","53","321","156","117","72",
"860Z200US98686","ZCTA5 98686","1898","261","69","50","47","36","222","97","251","125","189","84","237","118","71","45","307","128","399","149","106","77",
"860Z200US98801","ZCTA5 98801","7397","507","304","135","635","239","844","246","1160","287","917","254","511","216","403","178","677","230","1402","341","544","234",
"860Z200US98802","ZCTA5 98802","3505","409","230","169","155","91","682","251","321","105","355","174","415","173","242","164","97","51","686","231","322","143",
"860Z200US98811","ZCTA5 98811","10","18","10","18","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US98812","ZCTA5 98812","770","222","71","63","107","81","67","52","93","61","0","19","13","22","24","28","50","50","216","153","129","87",
"860Z200US98813","ZCTA5 98813","357","103","37","33","44","31","41","40","63","47","20","19","19","15","29","28","0","13","45","47","59","58",
