ZIP,date,forecast_rent
98388,2027-01-01,2077.9696313945437
98388,2027-02-01,2078.7051030174343
98388,2027-03-01,2079.4405746403245
98388,2027-04-01,2080.176046263215
98388,2027-05-01,2080.9115178861052
98388,2027-06-01,2081.646989508996
98388,2027-07-01,2082.3824611318864
98388,2027-08-01,2083.1179327547766
98388,2027-09-01,2083.853404377667
98388,2027-10-01,2084.5888760005573
98388,2027-11-01,2085.324347623448
98388,2027-12-01,2086.059819246338
98388,2028-01-01,2086.7952908692287
98388,2028-02-01,2087.5307624921193
98388,2028-03-01,2088.2662341150094
98388,2028-04-01,2089.0017057379
98388,2028-05-01,2089.73717736079
98388,2028-06-01,2090.4726489836808
98388,2028-07-01,2091.208120606571
98388,2028-08-01,2091.9435922294615
98388,2028-09-01,2092.679063852352
98388,2028-10-01,2093.4145354752422
98388,2028-11-01,2094.150007098133
98388,2028-12-01,2094.885478721023
98388,2029-01-01,2095.6209503439136
98388,2029-02-01,2096.3564219668037
98388,2029-03-01,2097.0918935896943
98388,2029-04-01,2097.827365212585
98388,2029-05-01,2098.562836835475
98388,2029-06-01,2099.2983084583657
98388,2029-07-01,2100.033780081256
98388,2029-08-01,2100.7692517041464
98388,2029-09-01,2101.5047233270366
98388,2029-10-01,2102.240194949927
98388,2029-11-01,2102.9756665728178
98388,2029-12-01,2103.711138195708
98388,2030-01-01,2104.4466098185985
98388,2030-02-01,2105.1820814414887
98388,2030-03-01,2105.9175530643793
98388,2030-04-01,2106.6530246872694
98388,2030-05-01,2107.38849631016
98388,2030-06-01,2108.1239679330506
98388,2030-07-01,2108.8594395559408
98391,2025-08-01,2920.912406219
98391,2025-09-01,2932.341215266385
98391,2025-10-01,2943.7700243137697
98391,2025-11-01,2955.198833361155
98391,2025-12-01,2966.62764240854
98391,2026-01-01,2978.0564514559246
98391,2026-02-01,2989.4852605033097
98391,2026-03-01,3000.914069550695
98391,2026-04-01,3012.3428785980796
98391,2026-05-01,3023.7716876454647
98391,2026-06-01,3035.20049669285
98391,2026-07-01,3046.6293057402345
98391,2026-08-01,3058.0581147876196
98391,2026-09-01,3069.4869238350047
98391,2026-10-01,3080.9157328823894
98391,2026-11-01,3092.3445419297746
98391,2026-12-01,3103.7733509771597
98391,2027-01-01,3115.2021600245444
98391,2027-02-01,3126.6309690719295
98391,2027-03-01,3138.0597781193146
98391,2027-04-01,3149.4885871666993
98391,2027-05-01,3160.9173962140844
98391,2027-06-01,3172.3462052614695
98391,2027-07-01,3183.775014308854
98391,2027-08-01,3195.2038233562394
98391,2027-09-01,3206.6326324036245
98391,2027-10-01,3218.061441451009
98391,2027-11-01,3229.4902504983943
98391,2027-12-01,3240.9190595457794
98391,2028-01-01,3252.347868593164
98391,2028-02-01,3263.776677640549
98391,2028-03-01,3275.2054866879344
98391,2028-04-01,3286.634295735319
98391,2028-05-01,3298.063104782704
98391,2028-06-01,3309.4919138300893
98391,2028-07-01,3320.920722877474
98391,2028-08-01,3332.349531924859
98391,2028-09-01,3343.778340972244
98391,2028-10-01,3355.207150019629
98391,2028-11-01,3366.635959067014
98391,2028-12-01,3378.064768114399
98391,2029-01-01,3389.493577161784
98391,2029-02-01,3400.922386209169
98391,2029-03-01,3412.351195256554
98391,2029-04-01,3423.7800043039388
98391,2029-05-01,3435.208813351324
98391,2029-06-01,3446.637622398709
98391,2029-07-01,3458.0664314460937
98391,2029-08-01,3469.495240493479
98391,2029-09-01,3480.924049540864
98391,2029-10-01,3492.3528585882486
98391,2029-11-01,3503.7816676356338
98391,2029-12-01,3515.210476683019
98391,2030-01-01,3526.6392857304036
98391,2030-02-01,3538.0680947777887
98391,2030-03-01,3549.496903825174
98391,2030-04-01,3560.9257128725585
98391,2030-05-01,3572.3545219199436
98391,2030-06-01,3583.7833309673288
98391,2030-07-01,3595.2121400147134
98402,2025-08-01,1659.2957709045963
98402,2025-09-01,1663.3220934909052
98402,2025-10-01,1667.348416077214
98402,2025-11-01,1671.3747386635227
98402,2025-12-01,1675.4010612498316
98402,2026-01-01,1679.4273838361405
98402,2026-02-01,1683.4537064224492
98402,2026-03-01,1687.480029008758
98402,2026-04-01,1691.506351595067
98402,2026-05-01,1695.5326741813756
98402,2026-06-01,1699.5589967676844
98402,2026-07-01,1703.5853193539933
98402,2026-08-01,1707.611641940302
98402,2026-09-01,1711.6379645266109
98402,2026-10-01,1715.6642871129197
98402,2026-11-01,1719.6906096992284
98402,2026-12-01,1723.7169322855375
98402,2027-01-01,1727.7432548718461
98402,2027-02-01,1731.7695774581548
98402,2027-03-01,1735.795900044464
98402,2027-04-01,1739.8222226307726
98402,2027-05-01,1743.8485452170814
98402,2027-06-01,1747.8748678033903
98402,2027-07-01,1751.901190389699
