ZIP,Metro,MonthlyMedianIncome,MedianRent,TotalHouseholds,HH_RentLT10Pct,HH_Rent10to14Pct,HH_Rent15to19Pct,HH_Rent20to24Pct,HH_Rent25to29Pct,HH_Rent30to34Pct,HH_Rent35to39Pct,HH_Rent40to49Pct,HH_Rent50PlusPct,rent_to_income
98117,"Seattle-Tacoma-Bellevue, WA",15208.333333333334,2180.9919338817126,4278,84,565,761,644,854,358,195,239,461,0.1434076888031811
98118,"Seattle-Tacoma-Bellevue, WA",9090.416666666666,1770.8140134445703,7911,343,488,1079,761,930,783,552,616,1913,0.19480009315061506
98119,"Seattle-Tacoma-Bellevue, WA",10418.416666666666,1810.3343073701778,8418,389,1039,1310,1716,1002,626,550,558,1039,0.17376290134011194
98121,"Seattle-Tacoma-Bellevue, WA",12414.5,2431.3384781387413,10342,590,1721,1889,1091,1298,816,429,408,1784,0.19584666947027599
98122,"Seattle-Tacoma-Bellevue, WA",8873.25,1870.587059601607,16682,735,1711,2507,2626,1501,1331,1135,1302,3172,0.21081194146469523
98125,"Seattle-Tacoma-Bellevue, WA",8060.416666666667,1591.7171059531593,10945,232,658,1103,1733,1067,974,867,1146,2795,0.19747330340075378
98126,"Seattle-Tacoma-Bellevue, WA",9502.5,1869.557406164626,3981,91,211,534,580,388,546,355,244,805,0.19674374176949497
98133,"Seattle-Tacoma-Bellevue, WA",7697.583333333333,1556.5347223656304,11790,369,709,1157,1373,1634,1010,1039,978,2990,0.20221083097928533
98134,"Seattle-Tacoma-Bellevue, WA",5509.916666666667,,138,0,0,9,8,30,38,0,0,33,
98136,"Seattle-Tacoma-Bellevue, WA",12803.0,1886.9171297326336,2841,29,211,516,317,409,199,237,196,564,0.14738085837168113
98144,"Seattle-Tacoma-Bellevue, WA",7837.583333333333,1806.508177273637,8465,406,602,834,1056,1009,930,597,913,1753,0.23049301046542456
98146,"Seattle-Tacoma-Bellevue, WA",9038.333333333334,1938.9815599555968,3496,93,202,449,473,440,388,238,288,744,0.21452866235909238
98148,"Seattle-Tacoma-Bellevue, WA",7249.5,1890.374920288868,2012,34,55,162,281,344,396,126,97,480,0.2607593517192728
98154,"Seattle-Tacoma-Bellevue, WA",,,0,0,0,0,0,0,0,0,0,0,
98155,"Seattle-Tacoma-Bellevue, WA",10992.583333333334,1916.3518229422243,3944,151,372,282,444,489,387,351,474,783,0.17433134367343656
98158,"Seattle-Tacoma-Bellevue, WA",,,0,0,0,0,0,0,0,0,0,0,
98164,"Seattle-Tacoma-Bellevue, WA",,,22,18,0,0,0,0,4,0,0,0,
98166,"Seattle-Tacoma-Bellevue, WA",9349.25,1762.848153877074,3030,14,308,265,287,491,301,205,393,710,0.18855503424093634
98168,"Seattle-Tacoma-Bellevue, WA",7078.083333333333,2076.2118442096516,5853,164,433,525,720,695,658,441,467,1509,0.29332966940810035
98174,"Seattle-Tacoma-Bellevue, WA",,,0,0,0,0,0,0,0,0,0,0,
98177,"Seattle-Tacoma-Bellevue, WA",13550.583333333334,3888.729757180154,1067,45,21,122,123,171,114,54,125,274,0.2869787714314995
98178,"Seattle-Tacoma-Bellevue, WA",7815.5,1921.4199726736915,3328,90,153,207,456,434,296,237,271,1057,0.24584735111940267
98188,"Seattle-Tacoma-Bellevue, WA",6379.916666666667,1722.83736474144,6545,44,808,672,846,655,727,516,824,1287,0.27004073168271897
98195,"Seattle-Tacoma-Bellevue, WA",,,0,0,0,0,0,0,0,0,0,0,
98198,"Seattle-Tacoma-Bellevue, WA",6994.833333333333,1872.2596742838841,6620,91,241,417,550,775,422,709,1341,1904,0.26766322870936415
98199,"Seattle-Tacoma-Bellevue, WA",14727.416666666666,2289.0320216027917,3787,98,579,866,789,473,206,57,242,406,0.1554265811453327
98201,"Seattle-Tacoma-Bellevue, WA",6151.833333333333,1465.1831542921295,7254,184,689,720,693,1055,785,483,526,1937,0.23817016406363353
98203,"Seattle-Tacoma-Bellevue, WA",8458.75,1798.086672824426,4531,54,205,429,614,623,255,504,433,1113,0.2125712041169707
98204,"Seattle-Tacoma-Bellevue, WA",5549.333333333333,1517.0090125882966,11523,250,708,1347,1522,1165,1305,983,1197,2840,0.27336779419539226
98207,"Seattle-Tacoma-Bellevue, WA",,,0,0,0,0,0,0,0,0,0,0,
98208,"Seattle-Tacoma-Bellevue, WA",8545.5,1677.8365601139287,6956,186,163,710,712,739,983,388,1052,1817,0.1963415318136948
98223,"Seattle-Tacoma-Bellevue, WA",8039.833333333333,1930.626618965368,3702,18,275,384,493,338,288,239,352,935,0.2401326668005599
98224,"Seattle-Tacoma-Bellevue, WA",7206.416666666667,,4,0,0,0,4,0,0,0,0,0,
98241,"Seattle-Tacoma-Bellevue, WA",6253.25,,236,8,33,17,29,0,74,0,18,46,
98251,"Seattle-Tacoma-Bellevue, WA",6542.666666666667,,284,0,32,0,19,24,0,0,65,69,
98252,"Seattle-Tacoma-Bellevue, WA",7936.25,,650,7,45,164,83,47,53,26,34,176,
98256,"Seattle-Tacoma-Bellevue, WA",7617.166666666667,,26,0,0,11,0,0,0,9,0,6,
98258,"Seattle-Tacoma-Bellevue, WA",10047.583333333334,2502.9167146791197,3853,71,306,356,563,411,502,453,320,670,0.24910634046453486
98270,"Seattle-Tacoma-Bellevue, WA",8521.5,2849.344237702168,5768,102,526,557,718,745,697,453,504,1241,0.3343712066774826
98271,"Seattle-Tacoma-Bellevue, WA",8128.916666666667,2141.928073386668,2872,107,110,266,361,457,293,160,175,755,0.26349489867079473
98272,"Seattle-Tacoma-Bellevue, WA",9657.833333333334,2214.4395422527527,2028,25,198,352,269,272,111,145,72,507,0.22928947578850528
98275,"Seattle-Tacoma-Bellevue, WA",10217.666666666666,1950.094973133968,2418,15,139,267,430,228,348,192,364,392,0.19085521545695053
98288,"Seattle-Tacoma-Bellevue, WA",4965.25,,30,2,6,2,11,3,0,0,0,3,
98290,"Seattle-Tacoma-Bellevue, WA",10804.666666666666,2554.0044108103643,2688,84,223,391,372,235,370,91,270,445,0.23637975049148804
98292,"Seattle-Tacoma-Bellevue, WA",8430.083333333334,2549.75,1853,110,117,145,150,152,122,34,141,756,0.30245845731062365
98294,"Seattle-Tacoma-Bellevue, WA",7331.75,2900.0,379,0,16,16,18,168,19,58,10,74,0.3955399461247315
98296,"Seattle-Tacoma-Bellevue, WA",14372.333333333334,3781.32644378305,923,64,175,18,84,113,19,44,38,235,0.2630976026010425
98303,"Seattle-Tacoma-Bellevue, WA",6006.166666666667,,10,10,0,0,0,0,0,0,0,0,
98304,"Seattle-Tacoma-Bellevue, WA",6436.166666666667,,62,0,47,0,0,0,0,0,0,0,
98321,"Seattle-Tacoma-Bellevue, WA",10590.083333333334,,695,0,43,84,106,78,63,9,119,193,
98323,"Seattle-Tacoma-Bellevue, WA",9489.583333333334,,24,0,6,0,0,0,8,0,0,10,
